name,slug,label
Bored Ape Yacht Club,boredapeyachtclub,0
Evolved Apes NFT,evolved-apes-inc,1
Oracle NFT,oraclenft,1
Neo Tokyo Identities,neo-tokyo-identities,0
Cool Cats NFT,cool-cats-nft,0
Hype Hippo NFT,hype-hippo-io,1
Veefriends NFT,veefriends,0
The Sandbox NFT,sandbox,0
Apymon NFT,apymon,1
CyberKongz NFT,cyberkongz,0
Meebits NFT,meebits,0
World of Women NFT,world-of-women-nft,0
Mutant Human Club NFT,mutanthumanclub-official,1
The Doge Pound NFT,the-doge-pound,0
Creature World NFT,creatureworld,0
Angry Anglers NFT,angryanglers,1
CloneX NFT,clonex,0
Doodles NFT,doodles-official,0
Panda Golf Squad NFT,pandagolfsquad,1
Pepsi Mic Drop NFT,pepsi-mic-drop,0
Miss Universe NFT,miss-universe-nft-1,1
CryptoBull Society NFT,crypto-bull-society,0
Chromie Squiggle NFT,chromie-squiggle-by-snowfro,0
Farmer Apes (FAYC) NFT,farmer-apes-fayc,1
Jadu Jetpack NFT,jadu-jetpack,0
Lazy Lions NFT,lazy-lions,0
CryptoVoxels NFT,cryptovoxels,0
Doge Battle NFT,doge-battle,1

